MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION,APRUEBO,RECHAZO
64,1,337,155,45.99,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,130,25
65,1,337,131,38.87,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,115,15
66,1,335,137,40.9,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,105,31
67,1,334,150,44.91,COLEGIO SIMON BOLIVAR,ALTO HOSPICIO,ALTO HOSPICIO,133,17
9V,1,345,171,49.57,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,126,44
10V,1,343,163,47.52,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,130,33
11V,1,341,183,53.67,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,145,36
12V,1,343,172,50.15,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,137,35
13V,1,337,171,50.74,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,144,26
14V,1,344,170,49.42,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,141,29
15V,1,341,160,46.92,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,117,41
16V,1,342,175,51.17,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,150,25
17V,1,344,193,56.1,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,160,33
18V,1,344,173,50.29,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,140,33
19V,1,341,190,55.72,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,162,28
20V,1,341,147,43.11,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,122,24
21V,1,342,151,44.15,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,116,34
22V,1,341,179,52.49,LICEO LOS CONDORES,ALTO HOSPICIO,ALTO HOSPICIO,140,37
